implementacion,etiqueta,maquina,nodos,aristas,hilos,scheduling,chunk,repeticion,tiempo_ms,distancia,nodos_visitados,aristas_recorridas
secuencial,escenarioA,tono,2000000,15999964,1,n/a,0,1,152.5863,5,1988541,12450125
secuencial,escenarioA,tono,2000000,15999964,1,n/a,0,2,155.8580,5,1988541,12450125
secuencial,escenarioA,tono,2000000,15999964,1,n/a,0,3,148.7088,5,1988541,12450125
secuencial,escenarioA,tono,2000000,15999964,1,n/a,0,4,187.0007,5,1988541,12450125
secuencial,escenarioA,tono,2000000,15999964,1,n/a,0,5,181.5573,5,1988541,12450125
secuencial,escenarioA,tono,2000000,15999964,1,n/a,0,6,210.8623,5,1988541,12450125
secuencial,escenarioA,tono,2000000,15999964,1,n/a,0,7,186.3295,5,1988541,12450125
secuencial_cola,escenarioA,tono,2000000,15999964,1,n/a,0,1,49.6650,5,984394,1599662
secuencial_cola,escenarioA,tono,2000000,15999964,1,n/a,0,2,50.0632,5,984394,1599662
secuencial_cola,escenarioA,tono,2000000,15999964,1,n/a,0,3,43.4003,5,984394,1599662
secuencial_cola,escenarioA,tono,2000000,15999964,1,n/a,0,4,47.5279,5,984394,1599662
secuencial_cola,escenarioA,tono,2000000,15999964,1,n/a,0,5,64.2852,5,984394,1599662
secuencial_cola,escenarioA,tono,2000000,15999964,1,n/a,0,6,53.2643,5,984394,1599662
secuencial_cola,escenarioA,tono,2000000,15999964,1,n/a,0,7,42.3437,5,984394,1599662
secuencial,escenarioB,tono,2000000,15999964,1,n/a,0,1,342.5372,-1,2000000,31999928
secuencial,escenarioB,tono,2000000,15999964,1,n/a,0,2,339.9499,-1,2000000,31999928
secuencial,escenarioB,tono,2000000,15999964,1,n/a,0,3,333.0008,-1,2000000,31999928
secuencial,escenarioB,tono,2000000,15999964,1,n/a,0,4,350.7491,-1,2000000,31999928
secuencial,escenarioB,tono,2000000,15999964,1,n/a,0,5,338.3376,-1,2000000,31999928
secuencial,escenarioB,tono,2000000,15999964,1,n/a,0,6,378.0573,-1,2000000,31999928
secuencial,escenarioB,tono,2000000,15999964,1,n/a,0,7,364.1770,-1,2000000,31999928
secuencial_cola,escenarioB,tono,2000000,15999964,1,n/a,0,1,475.7870,-1,2000000,31999928
secuencial_cola,escenarioB,tono,2000000,15999964,1,n/a,0,2,454.2533,-1,2000000,31999928
secuencial_cola,escenarioB,tono,2000000,15999964,1,n/a,0,3,435.7301,-1,2000000,31999928
secuencial_cola,escenarioB,tono,2000000,15999964,1,n/a,0,4,452.9990,-1,2000000,31999928
secuencial_cola,escenarioB,tono,2000000,15999964,1,n/a,0,5,486.8805,-1,2000000,31999928
secuencial_cola,escenarioB,tono,2000000,15999964,1,n/a,0,6,482.0613,-1,2000000,31999928
secuencial_cola,escenarioB,tono,2000000,15999964,1,n/a,0,7,447.7630,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,1,dynamic,16,1,389.5352,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,1,dynamic,16,2,397.0948,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,1,dynamic,16,3,429.5754,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,1,dynamic,16,4,407.8735,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,1,dynamic,16,5,497.4000,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,1,dynamic,16,6,400.9064,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,1,dynamic,16,7,398.1924,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,2,dynamic,16,1,218.3263,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,2,dynamic,16,2,235.5041,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,2,dynamic,16,3,221.9337,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,2,dynamic,16,4,224.3344,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,2,dynamic,16,5,232.0849,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,2,dynamic,16,6,218.5533,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,2,dynamic,16,7,230.0736,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,3,dynamic,16,1,176.5430,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,3,dynamic,16,2,184.6614,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,3,dynamic,16,3,188.1133,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,3,dynamic,16,4,175.5147,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,3,dynamic,16,5,179.4524,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,3,dynamic,16,6,193.9068,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,3,dynamic,16,7,203.3340,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,4,dynamic,16,1,174.6182,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,4,dynamic,16,2,161.5119,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,4,dynamic,16,3,153.5341,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,4,dynamic,16,4,157.9158,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,4,dynamic,16,5,157.0295,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,4,dynamic,16,6,158.7934,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,4,dynamic,16,7,173.6351,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,6,dynamic,16,1,150.0316,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,6,dynamic,16,2,128.8819,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,6,dynamic,16,3,131.5342,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,6,dynamic,16,4,137.0445,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,6,dynamic,16,5,148.1795,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,6,dynamic,16,6,140.7689,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,6,dynamic,16,7,132.8697,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,8,dynamic,16,1,150.4121,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,8,dynamic,16,2,165.6172,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,8,dynamic,16,3,139.0280,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,8,dynamic,16,4,150.8063,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,8,dynamic,16,5,144.8923,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,8,dynamic,16,6,131.8501,-1,2000000,31999928
paralelo,escenarioB,tono,2000000,15999964,8,dynamic,16,7,126.4968,-1,2000000,31999928
paralelo,escenarioA,tono,2000000,15999964,1,dynamic,16,1,176.6750,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,1,dynamic,16,2,178.4605,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,1,dynamic,16,3,202.4570,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,1,dynamic,16,4,194.7580,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,1,dynamic,16,5,160.8074,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,1,dynamic,16,6,156.0063,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,1,dynamic,16,7,172.9500,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,2,dynamic,16,1,106.9194,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,2,dynamic,16,2,101.0800,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,2,dynamic,16,3,95.8802,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,2,dynamic,16,4,92.3425,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,2,dynamic,16,5,98.9843,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,2,dynamic,16,6,98.8125,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,2,dynamic,16,7,132.9722,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,3,dynamic,16,1,86.0010,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,3,dynamic,16,2,88.8405,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,3,dynamic,16,3,96.3596,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,3,dynamic,16,4,107.4612,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,3,dynamic,16,5,88.2687,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,3,dynamic,16,6,102.4658,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,3,dynamic,16,7,106.8654,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,4,dynamic,16,1,79.4779,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,4,dynamic,16,2,81.8556,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,4,dynamic,16,3,79.7314,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,4,dynamic,16,4,87.2191,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,4,dynamic,16,5,80.1610,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,4,dynamic,16,6,105.3227,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,4,dynamic,16,7,83.9269,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,6,dynamic,16,1,67.8920,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,6,dynamic,16,2,73.1729,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,6,dynamic,16,3,71.9909,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,6,dynamic,16,4,72.7067,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,6,dynamic,16,5,70.2011,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,6,dynamic,16,6,75.0318,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,6,dynamic,16,7,73.5223,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,8,dynamic,16,1,54.1604,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,8,dynamic,16,2,59.4810,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,8,dynamic,16,3,104.2499,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,8,dynamic,16,4,60.1971,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,8,dynamic,16,5,56.8100,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,8,dynamic,16,6,61.0185,5,1988541,12450125
paralelo,escenarioA,tono,2000000,15999964,8,dynamic,16,7,59.9673,5,1988541,12450125
paralelo,sched,tono,2000000,15999964,8,static,0,1,163.8752,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,0,2,179.0655,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,0,3,181.0233,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,0,4,134.9989,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,0,5,140.4427,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,0,6,136.2426,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,0,7,129.8324,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,16,1,194.5013,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,16,2,189.4652,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,16,3,150.0416,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,16,4,128.8649,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,16,5,141.0241,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,16,6,135.2298,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,16,7,138.0069,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,64,1,172.0507,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,64,2,167.4808,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,64,3,152.1533,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,64,4,133.6066,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,64,5,131.1519,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,64,6,150.8708,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,64,7,144.6635,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,256,1,173.4837,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,256,2,162.7431,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,256,3,132.7714,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,256,4,165.1476,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,256,5,235.6002,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,256,6,130.1705,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,static,256,7,124.2142,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,0,1,149.9162,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,0,2,153.1228,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,0,3,157.7715,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,0,4,150.4559,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,0,5,151.2991,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,0,6,152.7641,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,0,7,215.1147,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,16,1,134.4533,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,16,2,129.9849,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,16,3,130.1799,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,16,4,131.6502,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,16,5,128.5058,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,16,6,126.2337,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,16,7,157.4744,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,64,1,176.7943,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,64,2,134.9440,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,64,3,131.5097,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,64,4,139.0321,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,64,5,139.5379,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,64,6,174.7359,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,64,7,122.7893,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,256,1,153.5024,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,256,2,174.8716,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,256,3,172.3239,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,256,4,219.8928,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,256,5,146.7089,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,256,6,125.1582,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,dynamic,256,7,185.6556,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,0,1,163.6653,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,0,2,177.0886,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,0,3,143.6073,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,0,4,142.6973,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,0,5,140.4093,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,0,6,139.1542,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,0,7,152.6583,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,16,1,158.5740,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,16,2,142.8415,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,16,3,138.4369,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,16,4,143.5349,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,16,5,137.5272,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,16,6,157.7332,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,16,7,178.1412,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,64,1,133.6086,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,64,2,146.3389,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,64,3,148.3039,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,64,4,181.5975,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,64,5,142.0063,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,64,6,154.4037,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,64,7,179.2110,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,256,1,135.2731,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,256,2,176.0434,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,256,3,143.8780,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,256,4,135.2887,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,256,5,145.1554,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,256,6,144.7604,-1,2000000,31999928
paralelo,sched,tono,2000000,15999964,8,guided,256,7,182.0058,-1,2000000,31999928
