implementacion,etiqueta,maquina,nodos,aristas,hilos,scheduling,chunk,repeticion,tiempo_ms,distancia,nodos_visitados,aristas_recorridas
secuencial,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,1,130.4776,5,1988541,12450125
secuencial,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,2,136.2700,5,1988541,12450125
secuencial,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,3,157.5594,5,1988541,12450125
secuencial,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,4,138.9716,5,1988541,12450125
secuencial,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,5,136.2397,5,1988541,12450125
secuencial,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,6,137.2464,5,1988541,12450125
secuencial,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,7,128.7773,5,1988541,12450125
secuencial_cola,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,1,41.3817,5,984394,1599662
secuencial_cola,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,2,43.8695,5,984394,1599662
secuencial_cola,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,3,36.0341,5,984394,1599662
secuencial_cola,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,4,33.8246,5,984394,1599662
secuencial_cola,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,5,43.4051,5,984394,1599662
secuencial_cola,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,6,37.7289,5,984394,1599662
secuencial_cola,escenarioA,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,7,37.5870,5,984394,1599662
secuencial,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,1,373.1579,-1,2000000,31999928
secuencial,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,2,389.2140,-1,2000000,31999928
secuencial,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,3,393.3557,-1,2000000,31999928
secuencial,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,4,369.1903,-1,2000000,31999928
secuencial,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,5,362.4519,-1,2000000,31999928
secuencial,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,6,365.9478,-1,2000000,31999928
secuencial,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,7,363.7821,-1,2000000,31999928
secuencial_cola,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,1,505.0386,-1,2000000,31999928
secuencial_cola,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,2,510.8879,-1,2000000,31999928
secuencial_cola,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,3,502.5967,-1,2000000,31999928
secuencial_cola,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,4,496.1539,-1,2000000,31999928
secuencial_cola,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,5,522.2031,-1,2000000,31999928
secuencial_cola,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,6,477.1212,-1,2000000,31999928
secuencial_cola,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,n/a,0,7,503.7274,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,1,471.8138,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,2,448.4195,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,3,449.4602,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,4,449.3613,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,5,452.7972,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,6,471.0940,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,1,dynamic,16,7,438.9163,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,1,251.0814,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,2,232.5149,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,3,240.4005,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,4,269.8020,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,5,243.6219,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,6,237.3759,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,2,dynamic,16,7,237.4906,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,1,174.5044,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,2,185.7116,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,3,185.7091,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,4,184.9821,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,5,182.1138,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,6,204.6055,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,3,dynamic,16,7,206.4895,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,1,151.6056,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,2,161.7641,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,3,153.5338,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,4,152.1013,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,5,156.3373,-1,2000000,31999928
paralelo,escenarioB,LAPTOP-46DB7QF0,2000000,15999964,4,dynamic,16,6,157.0716,-1,2000000,31999928
